competitor_sku,product_id,platform,title,price,rating,num_reviews,main_features,fulfillment_type
C001,P001,amazon,"Men's Running Shoes - Red",480,4.5,210,"breathable mesh, lightweight, cushioned sole","FBA"
C002,P001,amazon,"Men's Running Shoes - Black",460,4.3,180,"memory foam insole, durable outsole","seller_fulfilled"
C003,P001,flipkart,"Men Running Sneakers - Blue",520,4.1,95,"mesh upper, EVA midsole","seller_fulfilled"
C004,P002,amazon,"Men's White Formal Shirt",620,4.2,130,"slim fit, cotton, wrinkle resistant","seller_fulfilled"
C005,P002,meesho,"Slim Fit White Office Shirt",580,4.0,90,"slim fit, cotton blend, spread collar","seller_fulfilled"
C006,P002,amazon,"Formal Shirt - White Premium",750,4.5,65,"100% cotton, wrinkle free finish","FBA"
C007,P003,amazon,"Unisex Black Cotton T-Shirt",320,4.1,140,"180 GSM cotton, solid color","seller_fulfilled"
C008,P003,flipkart,"Black Crew Neck Tee",290,4.0,110,"cotton, regular fit, half sleeve","seller_fulfilled"
C009,P003,meesho,"Plain Black Unisex T-Shirt",260,3.9,95,"lightweight fabric, casual wear","seller_fulfilled"
C010,P004,myntra,"Red Festive Silk Saree",1400,4.4,180,"silk blend, zari border, blouse piece","seller_fulfilled"
C011,P004,myntra,"Designer Red Wedding Saree",1700,4.6,120,"heavy zari work, festive wear","seller_fulfilled"
C012,P004,meesho,"Red Silk Blend Saree",1250,4.1,90,"silk blend, traditional print","seller_fulfilled"
C013,P005,amazon,"Sports Ankle Socks - 3 Pairs",210,4.3,160,"breathable mesh panels, cushioned heel","FBA"
C014,P005,amazon,"Athletic Socks Pack of 3",190,4.0,120,"arch support, moisture wicking","seller_fulfilled"
C015,P006,amazon,"Men's Running Shoes - Black/White",540,4.2,150,"mesh upper, rubber sole, lace-up","seller_fulfilled"
C016,P006,flipkart,"Men's Sports Running Shoes",520,4.1,130,"cushioned midsole, lightweight","seller_fulfilled"
C017,P006,myntra,"Performance Running Shoes - Black",600,4.4,90,"high rebound cushioning, breathable","seller_fulfilled"
C018,P007,amazon,"Women's Pink Running Shoes",500,4.1,105,"mesh upper, soft insole","seller_fulfilled"
C019,P007,myntra,"Women Running Sneakers - Pink",550,4.3,88,"lightweight, flexible sole","seller_fulfilled"
C020,P008,amazon,"Checked Casual Shirt - Blue",560,4.0,95,"cotton blend, full sleeve","seller_fulfilled"
C021,P008,flipkart,"Men's Blue Checkered Shirt",530,3.9,80,"slim fit, casual wear","seller_fulfilled"
C022,P009,amazon,"Navy Polo T-Shirt",340,4.2,140,"polo collar, cotton, solid","FBA"
C023,P009,flipkart,"Men's Polo Tee - Navy",360,4.0,110,"regular fit, short sleeve","seller_fulfilled"
C024,P009,myntra,"Classic Navy Polo T-Shirt",399,4.4,95,"premium cotton, ribbed collar","seller_fulfilled"
C025,P010,myntra,"Women Floral Rayon Kurti",780,4.3,120,"rayon, floral print, casual","seller_fulfilled"
C026,P010,meesho,"Floral Printed Kurti - Blue",720,4.0,85,"3/4th sleeve, rayon","seller_fulfilled"
C027,P011,amazon,"Slim Fit Jeans - Dark Wash",1250,4.2,130,"cotton spandex, slim fit","seller_fulfilled"
C028,P011,flipkart,"Men's Dark Blue Slim Jeans",1150,4.0,110,"stretch fabric, mid rise","seller_fulfilled"
C029,P012,amazon,"Women's Straight Fit Jeans",1350,4.1,80,"cotton, straight fit, light wash","seller_fulfilled"
C030,P012,myntra,"Light Blue Straight Jeans",1299,4.4,95,"high waist, cotton denim","seller_fulfilled"
C031,P013,amazon,"Black Winter Jacket - Fleece Lined",2600,4.5,140,"polyester outer, fleece lining","seller_fulfilled"
C032,P013,flipkart,"Unisex Winter Jacket Black",2400,4.2,110,"hooded, wind resistant","seller_fulfilled"
C033,P014,amazon,"Grey Hoodie - Unisex",880,4.0,100,"cotton blend, kangaroo pocket","seller_fulfilled"
C034,P014,meesho,"Casual Grey Hoodie",820,3.9,85,"solid color, drawstring hood","seller_fulfilled"
C035,P015,amazon,"Kids Cartoon Print T-Shirt",260,4.3,90,"graphic print, cotton","seller_fulfilled"
C036,P015,flipkart,"Boys Cartoon Tee - Blue",240,4.1,75,"soft cotton, casual wear","seller_fulfilled"
C037,P016,myntra,"Girls Party Dress - Pink",950,4.4,100,"layered skirt, bow detail","seller_fulfilled"
C038,P016,meesho,"Pink Kids Dress",850,4.0,70,"party wear, sleeveless","seller_fulfilled"
C039,P017,amazon,"Men's Leather Wallet Brown",720,4.2,130,"genuine leather, 8 card slots","seller_fulfilled"
C040,P017,flipkart,"Classic Brown Wallet",680,4.0,90,"bi-fold, coin pocket","seller_fulfilled"
C041,P018,amazon,"Women Tan Handbag",1250,4.3,120,"PU leather, 3 compartments","seller_fulfilled"
C042,P018,myntra,"Tan Shoulder Bag",1199,4.1,95,"detachable strap, zip closure","seller_fulfilled"
C043,P019,amazon,"Ankle Socks Pack of 5",260,4.2,110,"cotton blend, ankle length","seller_fulfilled"
C044,P019,flipkart,"Sports Ankle Socks - 5 Pair",240,4.0,90,"breathable, cushioned sole","seller_fulfilled"
C045,P019,meesho,"Unisex Ankle Socks Combo",230,3.9,75,"stretch fabric, assorted colors","seller_fulfilled"
C046,P020,amazon,"Black Track Pants - Regular Fit",720,4.1,100,"polyester, elastic waistband","seller_fulfilled"
C047,P020,flipkart,"Men's Track Pants Black",690,4.0,85,"side pockets, drawstring","seller_fulfilled"
C048,P020,meesho,"Sports Track Pants - Black",650,3.9,70,"lightweight, quick dry","seller_fulfilled"
